heliost_number,n.s,azimut_angle,x,y,power,net_power
5702,0.945706,21.8588,-34.5,-86,602.95,2.90087e+06
5703,0.767715,22.7144,36,-86,489.47,2.90136e+06
5704,0.947892,22.7144,-36,-86,604.344,2.90196e+06
5705,0.763183,23.5594,37.5,-86,486.58,2.90245e+06
5706,0.950003,23.5594,-37.5,-86,605.69,2.90305e+06
5707,0.758668,24.3937,39,-86,483.701,2.90354e+06
5708,0.952041,24.3937,-39,-86,606.989,2.90414e+06
5709,0.754173,25.2172,40.5,-86,480.836,2.90463e+06
5710,0.954006,25.2172,-40.5,-86,608.242,2.90523e+06
5711,0.7497,26.0296,42,-86,477.984,2.90571e+06
5712,0.9559,26.0296,-42,-86,609.449,2.90632e+06
5713,0.745251,26.8309,43.5,-86,475.147,2.9068e+06
5714,0.957724,26.8309,-43.5,-86,610.613,2.90741e+06
5715,0.740829,27.6211,45,-86,472.328,2.90788e+06
5716,0.95948,27.6211,-45,-86,611.732,2.90849e+06
5717,0.736435,28.4,46.5,-86,469.526,2.90896e+06
5718,0.961169,28.4,-46.5,-86,612.809,2.90957e+06
5719,0.732072,29.1676,48,-86,466.744,2.91004e+06
5720,0.962794,29.1676,-48,-86,613.845,2.91065e+06
5721,0.72774,29.9239,49.5,-86,463.982,2.91112e+06
5722,0.964355,29.9239,-49.5,-86,614.84,2.91173e+06
5723,0.723441,30.6689,51,-86,461.242,2.91219e+06
5724,0.965854,30.6689,-51,-86,615.796,2.91281e+06
5725,0.719178,31.4026,52.5,-86,458.524,2.91327e+06
5726,0.967293,31.4026,-52.5,-86,616.713,2.91388e+06
5727,0.714951,32.125,54,-86,455.829,2.91434e+06
5728,0.968673,32.125,-54,-86,617.593,2.91496e+06
5729,0.710762,32.8361,55.5,-86,453.158,2.91541e+06
5730,0.969996,32.8361,-55.5,-86,618.437,2.91603e+06
5731,0.706612,33.536,57,-86,450.512,2.91648e+06
5732,0.971264,33.536,-57,-86,619.246,2.9171e+06
5733,0.702501,34.2248,58.5,-86,447.891,2.91755e+06
5734,0.972479,34.2248,-58.5,-86,620.02,2.91817e+06
5735,0.698432,34.9025,60,-86,445.297,2.91861e+06
5736,0.973642,34.9025,-60,-86,620.761,2.91923e+06
5737,0.694404,35.5692,61.5,-86,442.729,2.91968e+06
5738,0.974754,35.5692,-61.5,-86,621.47,2.9203e+06
5739,0.690418,36.2249,63,-86,440.187,2.92074e+06
5740,0.975817,36.2249,-63,-86,622.148,2.92136e+06
5741,0.686476,36.8699,64.5,-86,437.674,2.9218e+06
5742,0.976833,36.8699,-64.5,-86,622.796,2.92242e+06
5743,0.682577,37.5041,66,-86,435.188,2.92286e+06
5744,0.977804,37.5041,-66,-86,623.415,2.92348e+06
5745,0.678722,38.1278,67.5,-86,432.73,2.92391e+06
5746,0.978731,38.1278,-67.5,-86,624.006,2.92454e+06
5747,0.674912,38.741,69,-86,430.301,2.92497e+06
5748,0.979614,38.741,-69,-86,624.569,2.92559e+06
5749,0.671146,39.3438,70.5,-86,427.9,2.92602e+06
5750,0.980457,39.3438,-70.5,-86,625.107,2.92664e+06
5751,0.667426,39.9364,72,-86,425.528,2.92707e+06
5752,0.981261,39.9364,-72,-86,625.619,2.92769e+06
5753,0.663751,40.5189,73.5,-86,423.185,2.92812e+06
5754,0.982026,40.5189,-73.5,-86,626.107,2.92874e+06
5755,0.660121,41.0915,75,-86,420.871,2.92916e+06
5756,0.982754,41.0915,-75,-86,626.571,2.92979e+06
5757,0.873502,0,0,-87.5,556.916,2.93035e+06
5758,0.869557,0.982181,1.5,-87.5,554.4,2.9309e+06
5759,0.877388,0.982181,-1.5,-87.5,559.393,2.93146e+06
5760,0.865555,1.96364,3,-87.5,551.849,2.93201e+06
5761,0.881212,1.96364,-3,-87.5,561.831,2.93258e+06
5762,0.861498,2.94404,4.5,-87.5,549.262,2.93312e+06
5763,0.884972,2.94404,-4.5,-87.5,564.228,2.93369e+06
5764,0.857389,3.92271,6,-87.5,546.643,2.93424e+06
5765,0.888665,3.92271,-6,-87.5,566.583,2.9348e+06
5766,0.853232,4.89909,7.5,-87.5,543.992,2.93535e+06
5767,0.89229,4.89909,-7.5,-87.5,568.894,2.93592e+06
5768,0.84903,5.87263,9,-87.5,541.313,2.93646e+06
5769,0.895845,5.87263,-9,-87.5,571.16,2.93703e+06
5770,0.844784,6.84278,10.5,-87.5,538.606,2.93757e+06
5771,0.899328,6.84278,-10.5,-87.5,573.381,2.93814e+06
5772,0.840499,7.80899,12,-87.5,535.874,2.93868e+06
5773,0.902737,7.80899,-12,-87.5,575.555,2.93925e+06
5774,0.836178,8.77075,13.5,-87.5,533.119,2.93978e+06
5775,0.906073,8.77075,-13.5,-87.5,577.682,2.94036e+06
5776,0.831824,9.72759,15,-87.5,530.343,2.94089e+06
5777,0.909333,9.72759,-15,-87.5,579.76,2.94147e+06
5778,0.827441,10.6789,16.5,-87.5,527.548,2.942e+06
5779,0.912516,10.6789,-16.5,-87.5,581.79,2.94258e+06
5780,0.823031,11.6244,18,-87.5,524.737,2.94311e+06
5781,0.915623,11.6244,-18,-87.5,583.77,2.94369e+06
5782,0.818597,12.5635,19.5,-87.5,521.91,2.94421e+06
5783,0.918652,12.5635,-19.5,-87.5,585.701,2.9448e+06
5784,0.814144,13.4957,21,-87.5,519.071,2.94532e+06
5785,0.921602,13.4957,-21,-87.5,587.583,2.9459e+06
5786,0.809675,14.4208,22.5,-87.5,516.222,2.94642e+06
5787,0.924474,14.4208,-22.5,-87.5,589.414,2.94701e+06
5788,0.805192,15.3382,24,-87.5,513.364,2.94752e+06
5789,0.927268,15.3382,-24,-87.5,591.195,2.94811e+06
5790,0.8007,16.2476,25.5,-87.5,510.499,2.94862e+06
5791,0.929984,16.2476,-25.5,-87.5,592.926,2.94922e+06
5792,0.7962,17.1487,27,-87.5,507.63,2.94973e+06
5793,0.932621,17.1487,-27,-87.5,594.608,2.95032e+06
5794,0.791697,18.0412,28.5,-87.5,504.759,2.95082e+06
5795,0.93518,18.0412,-28.5,-87.5,596.24,2.95142e+06
5796,0.787193,18.9247,30,-87.5,501.888,2.95192e+06
5797,0.937663,18.9247,-30,-87.5,597.822,2.95252e+06
5798,0.782691,19.7989,31.5,-87.5,499.018,2.95302e+06
5799,0.940069,19.7989,-31.5,-87.5,599.356,2.95362e+06
5800,0.778195,20.6636,33,-87.5,496.151,2.95412e+06
5801,0.942398,20.6636,-33,-87.5,600.842,2.95472e+06
5802,0.773707,21.5186,34.5,-87.5,493.29,2.95521e+06
5803,0.944653,21.5186,-34.5,-87.5,602.279,2.95581e+06
5804,0.769229,22.3637,36,-87.5,490.435,2.9563e+06
5805,0.946834,22.3637,-36,-87.5,603.67,2.95691e+06
5806,0.764765,23.1986,37.5,-87.5,487.588,2.95739e+06
5807,0.948942,23.1986,-37.5,-87.5,605.014,2.958e+06
5808,0.760316,24.0232,39,-87.5,484.752,2.95848e+06
5809,0.950978,24.0232,-39,-87.5,606.312,2.95909e+06
5810,0.755886,24.8374,40.5,-87.5,481.927,2.95957e+06
5811,0.952943,24.8374,-40.5,-87.5,607.565,2.96018e+06
5812,0.751476,25.641,42,-87.5,479.116,2.96066e+06
5813,0.954839,25.641,-42,-87.5,608.773,2.96127e+06
5814,0.747088,26.4339,43.5,-87.5,476.318,2.96174e+06
5815,0.956667,26.4339,-43.5,-87.5,609.939,2.96235e+06
5816,0.742725,27.2161,45,-87.5,473.537,2.96283e+06
5817,0.958428,27.2161,-45,-87.5,611.062,2.96344e+06
5818,0.738389,27.9875,46.5,-87.5,470.772,2.96391e+06
5819,0.960124,27.9875,-46.5,-87.5,612.143,2.96452e+06
5820,0.734081,28.7479,48,-87.5,468.026,2.96499e+06
5821,0.961756,28.7479,-48,-87.5,613.184,2.9656e+06
5822,0.729803,29.4975,49.5,-87.5,465.298,2.96607e+06
5823,0.963326,29.4975,-49.5,-87.5,614.185,2.96668e+06
5824,0.725557,30.2361,51,-87.5,462.591,2.96714e+06
5825,0.964836,30.2361,-51,-87.5,615.147,2.96776e+06
5826,0.721344,30.9638,52.5,-87.5,459.905,2.96822e+06
5827,0.966286,30.9638,-52.5,-87.5,616.072,2.96883e+06
5828,0.717166,31.6805,54,-87.5,457.241,2.96929e+06
5829,0.967679,31.6805,-54,-87.5,616.959,2.96991e+06
5830,0.713023,32.3864,55.5,-87.5,454.6,2.97036e+06
5831,0.969015,32.3864,-55.5,-87.5,617.812,2.97098e+06
5832,0.708917,33.0814,57,-87.5,451.982,2.97143e+06
5833,0.970297,33.0814,-57,-87.5,618.629,2.97205e+06
5834,0.70485,33.7656,58.5,-87.5,449.389,2.9725e+06
5835,0.971527,33.7656,-58.5,-87.5,619.413,2.97312e+06
5836,0.700821,34.439,60,-87.5,446.82,2.97357e+06
5837,0.972705,34.439,-60,-87.5,620.164,2.97419e+06
5838,0.696832,35.1017,61.5,-87.5,444.277,2.97463e+06
5839,0.973833,35.1017,-61.5,-87.5,620.883,2.97525e+06
5840,0.692883,35.7539,63,-87.5,441.759,2.9757e+06
5841,0.974913,35.7539,-63,-87.5,621.572,2.97632e+06
5842,0.688976,36.3955,64.5,-87.5,439.268,2.97676e+06
5843,0.975946,36.3955,-64.5,-87.5,622.23,2.97738e+06
5844,0.685111,37.0267,66,-87.5,436.804,2.97781e+06
5845,0.976934,37.0267,-66,-87.5,622.86,2.97844e+06
5846,0.681288,37.6476,67.5,-87.5,434.366,2.97887e+06
5847,0.977879,37.6476,-67.5,-87.5,623.463,2.9795e+06
5848,0.677508,38.2583,69,-87.5,431.956,2.97993e+06
5849,0.978781,38.2583,-69,-87.5,624.038,2.98055e+06
5850,0.673771,38.8589,70.5,-87.5,429.574,2.98098e+06
5851,0.979642,38.8589,-70.5,-87.5,624.587,2.98161e+06
5852,0.670078,39.4495,72,-87.5,427.219,2.98203e+06
5853,0.980463,39.4495,-72,-87.5,625.111,2.98266e+06
5854,0.666428,40.0303,73.5,-87.5,424.892,2.98308e+06
5855,0.981247,40.0303,-73.5,-87.5,625.61,2.98371e+06
5856,0.662822,40.6013,75,-87.5,422.593,2.98413e+06
5857,0.981994,40.6013,-75,-87.5,626.087,2.98476e+06
5858,0.87326,0,0,-89,556.761,2.98531e+06
5859,0.869377,0.965706,1.5,-89,554.286,2.98587e+06
5860,0.877085,0.965706,-1.5,-89,559.2,2.98643e+06
5861,0.865439,1.93057,3,-89,551.775,2.98698e+06
5862,0.88085,1.93057,-3,-89,561.601,2.98754e+06
5863,0.861449,2.89455,4.5,-89,549.231,2.98809e+06
5864,0.884553,2.89455,-4.5,-89,563.961,2.98865e+06
5865,0.857408,3.85681,6,-89,546.655,2.9892e+06
5866,0.888192,3.85681,-6,-89,566.282,2.98977e+06
5867,0.85332,4.81691,7.5,-89,544.048,2.99031e+06
5868,0.891765,4.81691,-7.5,-89,568.559,2.99088e+06
5869,0.849188,5.77431,9,-89,541.414,2.99142e+06
5870,0.89527,5.77431,-9,-89,570.794,2.99199e+06
5871,0.845014,6.72849,10.5,-89,538.753,2.99253e+06
5872,0.898706,6.72849,-10.5,-89,572.985,2.9931e+06
5873,0.840802,7.67895,12,-89,536.067,2.99364e+06
5874,0.902071,7.67895,-12,-89,575.13,2.99421e+06
5875,0.836554,8.62516,13.5,-89,533.359,2.99475e+06
5876,0.905365,8.62516,-13.5,-89,577.23,2.99532e+06
5877,0.832274,9.5667,15,-89,530.63,2.99586e+06
5878,0.908585,9.5667,-15,-89,579.283,2.99643e+06
5879,0.827964,10.503,16.5,-89,527.882,2.99696e+06
5880,0.911732,10.503,-16.5,-89,581.29,2.99754e+06
