x_pos;power
12.7991;516.685
12.8991;516.376
12.9991;516.069
13.0991;515.765
13.1991;515.462
13.2991;515.161
13.3991;514.862
13.4991;514.564
13.5991;514.269
13.6991;513.976
13.7991;513.684
13.8991;513.394
13.9991;513.107
14.0991;512.821
14.1991;512.536
14.2991;512.254
14.3991;511.974
14.4991;511.695
14.5991;511.419
14.6991;511.144
14.7991;510.87
14.8991;510.599
14.9991;510.33
15.0991;510.062
15.1991;509.796
15.2991;509.532
15.3991;509.269
15.4991;509.009
15.5991;508.75
15.6991;508.493
15.7991;508.237
15.8991;507.983
15.9991;507.731
16.0991;507.481
16.1991;507.232
16.2991;506.985
16.3991;506.74
16.4991;506.496
16.5991;506.254
16.6991;506.014
16.7991;505.775
16.8991;505.538
16.9991;505.302
17.0991;505.068
17.1991;504.836
17.2991;504.605
17.3991;504.375
17.4991;504.148
17.5991;503.921
17.6991;503.697
17.7991;503.474
17.8991;503.252
17.9991;503.032
18.0991;502.813
18.1991;502.596
18.2991;502.38
18.3991;502.165
18.4991;501.953
18.5991;501.741
18.6991;501.531
18.7991;501.322
18.8991;501.115
18.9991;500.909
19.0991;500.705
19.1991;500.502
19.2991;500.3
19.3991;500.099
19.4991;499.9
19.5991;499.702
19.6991;499.506
19.7991;499.311
19.8991;499.117
19.9991;498.924
20.0991;498.733
20.1991;498.543
20.2991;498.354
20.3991;498.166
20.4991;497.98
20.5991;497.795
20.6991;497.611
20.7991;497.428
20.8991;497.246
20.9991;497.066
21.0991;496.887
21.1991;496.709
21.2991;496.532
21.3991;496.356
21.4991;496.182
21.5991;496.008
21.6991;495.836
21.7991;495.665
21.8991;495.494
21.9991;495.325
22.0991;495.157
22.1991;494.991
22.2991;494.825
22.3991;494.66
22.4991;494.496
22.5991;494.333
22.6991;494.172
22.7991;494.011
22.8991;493.851
22.9991;493.693
23.0991;493.535
23.1991;493.379
23.2991;493.223
23.3991;493.068
23.4991;492.914
23.5991;492.762
23.6991;492.61
23.7991;492.459
23.8991;492.309
23.9991;492.16
24.0991;492.012
24.1991;491.865
24.2991;491.718
24.3991;491.573
24.4991;491.429
24.5991;491.285
24.6991;491.142
24.7991;491
24.8991;490.859
24.9991;490.719
25.0991;490.58
25.1991;490.441
25.2991;490.304
25.3991;490.167
25.4991;490.031
25.5991;489.896
25.6991;489.761
25.7991;489.628
25.8991;489.495
25.9991;489.363
26.0991;489.232
26.1991;489.101
26.2991;488.972
26.3991;488.843
26.4991;488.715
26.5991;488.587
26.6991;488.46
26.7991;488.335
26.8991;488.209
26.9991;488.085
27.0991;487.961
27.1991;487.838
27.2991;487.716
27.3991;487.594
27.4991;487.473
27.5991;487.353
27.6991;487.234
27.7991;487.115
27.8991;486.997
27.9991;486.879
28.0991;486.762
28.1991;486.646
28.2991;486.531
28.3991;486.416
28.4991;486.301
28.5991;486.188
28.6991;486.075
28.7991;485.963
28.8991;485.851
28.9991;485.74
29.0991;485.629
29.1991;485.52
29.2991;485.41
29.3991;485.302
29.4991;485.194
29.5991;485.086
29.6991;484.98
29.7991;484.873
29.8991;484.768
29.9991;484.663
30.0991;484.558
30.1991;484.454
30.2991;484.351
30.3991;484.248
30.4991;484.146
30.5991;484.044
30.6991;483.943
30.7991;483.842
30.8991;483.742
30.9991;483.642
31.0991;483.543
31.1991;483.445
31.2991;483.347
31.3991;483.249
31.4991;483.152
31.5991;483.056
31.6991;482.96
31.7991;482.864
31.8991;482.77
31.9991;482.675
32.0991;482.581
32.1991;482.488
32.2991;482.395
32.3991;482.302
32.4991;482.21
32.5991;482.119
32.6991;482.027
32.7991;481.937
32.8991;481.847
32.9991;481.757
33.0991;481.668
33.1991;481.579
33.2991;481.491
33.3991;481.403
33.4991;481.315
33.5991;481.228
33.6991;481.142
33.7991;481.056
33.8991;480.97
33.9991;480.885
34.0991;480.8
34.1991;480.715
34.2991;480.632
34.3991;480.548
34.4991;480.465
34.5991;480.382
34.6991;480.3
34.7991;480.218
34.8991;480.136
34.9991;480.055
35.0991;479.974
35.1991;479.894
35.2991;479.814
35.3991;479.734
35.4991;479.655
35.5991;479.576
35.6991;479.498
35.7991;479.42
35.8991;479.342
35.9991;479.265
36.0991;479.188
36.1991;479.112
36.2991;479.035
36.3991;478.96
36.4991;478.884
36.5991;478.809
36.6991;478.734
36.7991;478.66
36.8991;478.586
36.9991;478.512
37.0991;478.439
37.1991;478.366
37.2991;478.293
37.3991;478.221
37.4991;478.149
37.599;478.077
37.699;478.006
37.799;477.935
37.899;477.864
37.999;477.794
