xpos;power;ReflPercent
-39.7009;814.903;75.1701
-39.6009;815.015;75.1803
-39.5009;815.126;75.1907
-39.4009;815.239;75.201
-39.3009;815.352;75.2114
-39.2009;815.465;75.2219
-39.1009;815.579;75.2324
-39.0009;815.693;75.2429
-38.9009;815.808;75.2535
-38.8009;815.924;75.2642
-38.7009;816.04;75.2749
-38.6009;816.156;75.2856
-38.5009;816.273;75.2964
-38.4009;816.391;75.3073
-38.3009;816.509;75.3182
-38.2009;816.627;75.3291
-38.1009;816.746;75.3401
-38.0009;816.866;75.3511
-37.9009;816.986;75.3622
-37.8009;817.107;75.3734
-37.701;817.229;75.3846
-37.601;817.351;75.3958
-37.501;817.473;75.4071
-37.401;817.596;75.4185
-37.301;817.72;75.4299
-37.201;817.844;75.4413
-37.101;817.969;75.4529
-37.001;818.094;75.4644
-36.901;818.22;75.476
-36.801;818.347;75.4877
-36.701;818.474;75.4995
-36.601;818.602;75.5113
-36.501;818.73;75.5231
-36.401;818.859;75.535
-36.301;818.989;75.547
-36.201;819.119;75.559
-36.101;819.25;75.5711
-36.001;819.382;75.5832
-35.901;819.514;75.5954
-35.801;819.647;75.6076
-35.701;819.78;75.6199
-35.601;819.914;75.6323
-35.501;820.049;75.6447
-35.401;820.184;75.6572
-35.301;820.32;75.6697
-35.201;820.457;75.6824
-35.101;820.594;75.695
-35.001;820.732;75.7078
-34.901;820.871;75.7206
-34.801;821.01;75.7334
-34.701;821.15;75.7463
-34.601;821.291;75.7593
-34.501;821.433;75.7724
-34.401;821.575;75.7855
-34.301;821.718;75.7987
-34.201;821.861;75.8119
-34.101;822.006;75.8252
-34.001;822.151;75.8386
-33.901;822.296;75.852
-33.801;822.443;75.8656
-33.701;822.59;75.8791
-33.601;822.738;75.8928
-33.501;822.887;75.9065
-33.401;823.036;75.9203
-33.301;823.187;75.9342
-33.201;823.337;75.9481
-33.101;823.489;75.9621
-33.001;823.642;75.9761
-32.901;823.795;75.9903
-32.801;823.949;76.0045
-32.701;824.104;76.0188
-32.601;824.26;76.0331
-32.501;824.416;76.0476
-32.401;824.574;76.0621
-32.301;824.732;76.0767
-32.201;824.891;76.0914
-32.101;825.05;76.1061
-32.001;825.211;76.1209
-31.901;825.373;76.1358
-31.801;825.535;76.1508
-31.701;825.698;76.1658
-31.601;825.862;76.181
-31.501;826.027;76.1962
-31.401;826.193;76.2115
-31.301;826.359;76.2268
-31.201;826.527;76.2423
-31.101;826.695;76.2578
-31.001;826.865;76.2734
-30.901;827.035;76.2891
-30.801;827.206;76.3049
-30.701;827.378;76.3208
-30.601;827.551;76.3368
-30.501;827.725;76.3528
-30.401;827.9;76.3689
-30.301;828.076;76.3851
-30.201;828.252;76.4015
-30.101;828.43;76.4178
-30.001;828.609;76.4343
-29.901;828.788;76.4509
-29.801;828.969;76.4676
-29.701;829.151;76.4843
-29.601;829.333;76.5012
-29.501;829.517;76.5181
-29.401;829.702;76.5351
-29.301;829.887;76.5523
-29.201;830.074;76.5695
-29.101;830.262;76.5868
-29.001;830.451;76.6042
-28.901;830.64;76.6217
-28.801;830.831;76.6393
-28.701;831.023;76.6571
-28.601;831.216;76.6749
-28.501;831.411;76.6928
-28.401;831.606;76.7108
-28.301;831.802;76.7289
-28.201;832;76.7471
-28.101;832.198;76.7654
-28.001;832.398;76.7838
-27.901;832.599;76.8024
-27.801;832.801;76.821
-27.701;833.004;76.8397
-27.601;833.208;76.8586
-27.501;833.414;76.8775
-27.401;833.62;76.8966
-27.301;833.828;76.9158
-27.201;834.037;76.9351
-27.101;834.248;76.9545
-27.001;834.459;76.974
-26.901;834.672;76.9936
-26.801;834.886;77.0134
-26.701;835.101;77.0332
-26.601;835.318;77.0532
-26.501;835.536;77.0733
-26.401;835.755;77.0935
-26.301;835.975;77.1138
-26.201;836.197;77.1343
-26.101;836.42;77.1548
-26.001;836.644;77.1755
-25.901;836.87;77.1963
-25.801;837.097;77.2173
-25.701;837.325;77.2383
-25.601;837.555;77.2595
-25.501;837.786;77.2808
-25.401;838.018;77.3023
-25.301;838.252;77.3239
-25.201;838.487;77.3456
-25.101;838.724;77.3674
-25.001;838.962;77.3894
-24.901;839.202;77.4115
-24.801;839.443;77.4337
-24.701;839.686;77.4561
-24.601;839.93;77.4786
-24.501;840.175;77.5012
-24.401;840.422;77.524
-24.301;840.671;77.547
-24.201;840.921;77.57
-24.101;841.172;77.5932
-24.001;841.426;77.6166
-23.901;841.68;77.6401
-23.801;841.937;77.6637
-23.701;842.195;77.6875
-23.601;842.454;77.7115
-23.501;842.715;77.7356
-23.401;842.978;77.7598
-23.301;843.243;77.7842
-23.201;843.509;77.8087
-23.101;843.776;77.8334
-23.001;844.046;77.8583
-22.901;844.317;77.8833
-22.801;844.59;77.9085
-22.701;844.865;77.9338
-22.601;845.141;77.9593
-22.501;845.419;77.985
-22.401;845.699;78.0108
-22.301;845.981;78.0368
-22.201;846.264;78.0629
-22.101;846.549;78.0892
-22.001;846.837;78.1157
-21.901;847.126;78.1424
-21.801;847.417;78.1692
-21.701;847.709;78.1962
-21.601;848.004;78.2234
-21.501;848.3;78.2508
-21.401;848.599;78.2783
-21.301;848.899;78.306
-21.201;849.202;78.3339
-21.101;849.506;78.362
-21.001;849.812;78.3902
-20.901;850.121;78.4187
-20.801;850.431;78.4473
-20.701;850.743;78.4761
-20.601;851.058;78.5051
-20.501;851.374;78.5343
-20.401;851.693;78.5637
-20.301;852.014;78.5933
-20.201;852.336;78.6231
-20.101;852.661;78.653
-20.001;852.989;78.6832
-19.901;853.318;78.7136
-19.801;853.649;78.7442
-19.701;853.983;78.7749
-19.601;854.319;78.8059
-19.501;854.657;78.8371
-19.401;854.997;78.8685
-19.301;855.34;78.9001
-19.201;855.685;78.9319
-19.101;856.032;78.964
-19.001;856.382;78.9962
-18.901;856.734;79.0287
-18.801;857.088;79.0614
-18.701;857.445;79.0943
-18.601;857.804;79.1274
-18.501;858.166;79.1608
-18.401;858.529;79.1943
-18.301;858.896;79.2281
-18.201;859.265;79.2622
-18.101;859.636;79.2964
-18.001;860.01;79.3309
-17.901;860.386;79.3656
-17.801;860.765;79.4006
-17.701;861.147;79.4358
-17.601;861.531;79.4712
-17.501;861.918;79.5069
-17.401;862.307;79.5428
-17.301;862.699;79.579
-17.201;863.094;79.6154
-17.101;863.491;79.652
-17.001;863.891;79.6889
-16.901;864.294;79.7261
-16.801;864.699;79.7635
-16.701;865.108;79.8011
-16.601;865.519;79.8391
-16.501;865.932;79.8772
-16.401;866.349;79.9156
-16.301;866.768;79.9543
-16.201;867.191;79.9933
-16.101;867.616;80.0325
-16.001;868.044;80.072
-15.901;868.475;80.1117
-15.801;868.908;80.1517
-15.701;869.345;80.192
-15.601;869.785;80.2326
-15.501;870.228;80.2734
-15.401;870.673;80.3145
-15.301;871.122;80.3559
-15.201;871.573;80.3975
-15.101;872.028;80.4395
-15.001;872.486;80.4817
-14.901;872.946;80.5242
-14.801;873.41;80.567
-14.701;873.877;80.6101
-14.601;874.347;80.6534
-14.501;874.82;80.6971
-14.401;875.296;80.741
-14.301;875.776;80.7852
-14.201;876.258;80.8297
-14.101;876.744;80.8745
-14.001;877.233;80.9196
-13.901;877.725;80.965
-13.801;878.22;81.0107
-13.701;878.718;81.0566
-13.601;879.22;81.1029
-13.501;879.725;81.1495
-13.401;880.233;81.1963
-13.301;880.744;81.2435
-13.201;881.259;81.291
-13.101;881.776;81.3387
-13.001;882.297;81.3868
-12.901;882.822;81.4352
-12.801;883.349;81.4838
-12.701;883.88;81.5328
-12.601;884.414;81.582
-12.501;884.951;81.6316
-12.401;885.492;81.6814
-12.301;886.035;81.7316
-12.201;886.582;81.7821
-12.101;887.133;81.8328
-12.001;887.686;81.8839
-11.901;888.243;81.9352
-11.801;888.803;81.9869
-11.701;889.366;82.0388
-11.601;889.932;82.091
-11.501;890.501;82.1435
-11.401;891.074;82.1964
-11.301;891.65;82.2495
-11.201;892.228;82.3029
-11.101;892.81;82.3565
-11.001;893.395;82.4105
-10.901;893.983;82.4647
-10.801;894.574;82.5193
-10.701;895.168;82.574
-10.601;895.765;82.6291
-10.501;896.365;82.6844
-10.401;896.968;82.74
-10.301;897.573;82.7959
-10.201;898.182;82.852
-10.101;898.793;82.9084
-10.001;899.407;82.965
-9.90095;900.023;83.0219
-9.80095;900.642;83.079
-9.70095;901.264;83.1364
-9.60095;901.888;83.1939
-9.50095;902.515;83.2517
-9.40095;903.144;83.3097
-9.30095;903.775;83.368
-9.20095;904.408;83.4264
-9.10095;905.044;83.485
-9.00095;905.682;83.5438
-8.90095;906.321;83.6028
-8.80095;906.963;83.662
-8.70095;907.606;83.7213
-8.60095;908.251;83.7809
